Kong_Index,Kong_ROI_Name,Schaefer2018_Best_Match,Dice
251,17networks_RH_DorsAttnB_SPL_2,17Networks_RH_DorsAttnB_PostC_6,1.0
252,17networks_RH_Aud_ParOcc_1,17Networks_RH_DorsAttnA_ParOcc_2,1.0
253,17networks_RH_Aud_ParOper_1,17Networks_RH_SomMotB_S2_3,1.0
254,17networks_RH_Aud_ST_1,17Networks_RH_SomMotB_Aud_2,1.0
255,17networks_RH_Aud_ST_2,17Networks_RH_SomMotB_Aud_1,1.0
256,17networks_RH_Aud_ST_3,17Networks_RH_TempPar_6,1.0
257,17networks_RH_Aud_ST_4,17Networks_RH_TempPar_3,1.0
258,17networks_RH_SomMotA_1,17Networks_RH_SomMotA_7,1.0
259,17networks_RH_SomMotA_2,17Networks_RH_SomMotA_5,1.0
260,17networks_RH_SomMotA_3,17Networks_RH_SomMotA_11,1.0
261,17networks_RH_SomMotA_4,17Networks_RH_SomMotA_6,1.0
262,17networks_RH_SomMotA_5,17Networks_RH_SomMotA_3,1.0
263,17networks_RH_SomMotA_6,17Networks_RH_SomMotA_14,1.0
264,17networks_RH_SomMotA_7,17Networks_RH_SomMotA_8,1.0
265,17networks_RH_SomMotA_8,17Networks_RH_SomMotA_15,1.0
266,17networks_RH_SomMotA_9,17Networks_RH_SomMotA_9,1.0
267,17networks_RH_SomMotA_10,17Networks_RH_SomMotA_4,1.0
268,17networks_RH_SomMotB_Ins_1,17Networks_RH_SomMotB_S2_2,1.0
269,17networks_RH_SomMotB_Ins_2,17Networks_RH_SomMotB_S2_1,1.0
270,17networks_RH_SomMotB_ParOper_1,17Networks_RH_SomMotB_S2_5,1.0
271,17networks_RH_SomMotB_1,17Networks_RH_SomMotA_12,1.0
272,17networks_RH_SomMotB_2,17Networks_RH_SomMotA_10,1.0
273,17networks_RH_SomMotB_3,17Networks_RH_SomMotA_2,1.0
274,17networks_RH_SomMotB_4,17Networks_RH_SomMotA_1,1.0
275,17networks_RH_SomMotB_5,17Networks_RH_SomMotB_Cent_2,1.0
276,17networks_RH_SomMotB_6,17Networks_RH_SomMotB_Cent_1,1.0
277,17networks_RH_VisualA_ExStr_1,17Networks_RH_DorsAttnA_SPL_1,1.0
278,17networks_RH_VisualA_ExStr_2,17Networks_RH_VisCent_ExStr_10,1.0
279,17networks_RH_VisualA_ExStr_3,17Networks_RH_DorsAttnA_ParOcc_3,1.0
280,17networks_RH_VisualA_ExStr_4,17Networks_RH_VisCent_ExStr_7,1.0
281,17networks_RH_VisualA_ExStr_5,17Networks_RH_VisCent_ExStr_9,1.0
282,17networks_RH_VisualA_ExStr_6,17Networks_RH_VisCent_ExStr_4,1.0
283,17networks_RH_VisualA_ExStr_7,17Networks_RH_DorsAttnA_ParOcc_1,1.0
284,17networks_RH_VisualA_ExStr_8,17Networks_RH_VisCent_ExStr_2,1.0
285,17networks_RH_VisualA_ExStr_9,17Networks_RH_VisCent_ExStr_1,1.0
286,17networks_RH_VisualA_PrC_1,17Networks_RH_DorsAttnB_FEF_1,1.0
